isbn,title,authors,publisher,publish_date
9780743236010,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,Scribner,2004-07-02
9780553572490,Vice (V  #8),Jane Feather,Bantam,1996-05-02
9780060589462,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,HarperTorch,2006-04-25
9780802789471,Once Upon a Cool Motorcycle Dude,"Kevin O'Malley,Carol Heyer,Scott Goto",Walker & Company,2005-04-01
9780688060695,Guidebook to Zen and the Art of Motorcycle Maintenance,"Ronald L. DiSanto,Thomas J. Steele",William Morrow Paperbacks,1990-11-19
9781859605158,Motorcycle Basics Techbook,John Harold Haynes,Haynes Manuals N. America  Inc.,2002-07-05
9781592530878,LOGO Lounge: 2 000 International Identities by Leading Designers,"Catharine M. Fishel,Bill Gardner",Rockport Publishers,2004-09-01
9780451528803,The Death of Ivan Ilych And Other Stories,"Leo Tolstoy,Hugh McLean",Signet Classics,2003-04-01
9780192833983,War and Peace,"Leo Tolstoy,Henry Gifford,Aylmer Maude,Louise Maude",Oxford University Press,1998-06-25
9780486451381,The Kingdom of God Is Within You,"Leo Tolstoy,Constance Garnett",Dover Publications,2006-09-08
9780452011878,Atlas Shrugged,"Ayn Rand,Leonard Peikoff",Plume,1999-08-01
9780451163080,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,Signet Book,1963-12-01
9780452286757,The Fountainhead,Ayn Rand,Dutton,2005-04-26
9780451163936,The Virtue of Selfishness: A New Concept of Egoism,"Ayn Rand,Nathaniel Branden",Signet,1964-11-01
9780452281257,Anthem,Ayn Rand,NAL,1999-12-01
9780451187840,We the Living,"Ayn Rand,Leonard Peikoff",Signet,1996-01-01
9780451147950,Capitalism: The Unknown Ideal,"Ayn Rand,Nathaniel Branden,Alan Greenspan,Robert Hessen",Signet,1986-07-15
9780452274044,Letters of Ayn Rand,"Ayn Rand,Michael S. Berliner,Leonard Peikoff",NAL,1997-02-01
9780471791430,Sailing for Dummies,"J.J. Isler,Peter Isler",For Dummies,2006-06-01
9780553803815,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,Delacorte Press,2006-07-25
9780375755194,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,Random House Trade Paperbacks,2002-09-17
9781592283194,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,Lyons Press,2004-04-01
9780975599518,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,Alliance Publishing,2004-01-01
9780374502003,The Natural,"Bernard Malamud,Kevin Baker",Farrar Straus Giroux,2003-07-07
9780307263940,Digging to America,Anne Tyler,Alfred A. Knopf,2006-05-02
9780312405540,Rereading America: Cultural Contexts for Critical Thinking and Writing,"Gary Colombo,Bonnie Lisle",Bedford Books,2004-01-21
9780195170139,Modern Latin America,"Thomas E. Skidmore,Peter H. Smith",Oxford University Press  USA,2004-10-07
9781400079490,The Plot Against America,Philip Roth,Vintage International,2005-09-27
9780688171629,Naked Pictures of Famous People,Jon   Stewart,Dey Street Books,1999-09-22
9780060932688,Collected Stories,"Gabriel García Márquez,Gregory Rabassa,J.S. Bernstein",Harper Perennial Modern Classics,2008-05-13
9781400034956,Crónica de una muerte anunciada,Gabriel García Márquez,Vintage Espanol,2003-10-14
9780307350428,Cien años de soledad,Gabriel García Márquez,Plaza y Janes,2006-02-07
9780307350442,Del amor y otros demonios,Gabriel García Márquez,Plaza y Janes,2006-02-07
9781400034543,Living to Tell the Tale,"Gabriel García Márquez,Edith Grossman",Vintage,2004-10-12
9781400095803,Memoria de mis putas tristes,Gabriel García Márquez,Vintage Espanol,2004-10-19
9780375708114,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,Vintage Books USA,2004-09-02
9780861714926,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,"Upasika Kee Nanayon,Thanissaro Bhikkhu",Wisdom Publications,2005-05-15
